size,array_type,algorithm,time_ms,char_comps
800,reverse,string_mergesort,0.0833834,4496
800,reverse,msd_radix,0.0555166,3362
800,reverse,msd_radix_hybrid,0.0290748,3704
800,almost,std_quicksort,0.0222916,27581
800,almost,std_mergesort,0.0981252,7846
800,almost,tsq,0.017683,7127
800,almost,string_mergesort,0.0860418,6808
800,almost,msd_radix,0.0545666,3362
800,almost,msd_radix_hybrid,0.030458,3739
900,random,std_quicksort,0.0327248,27180
900,random,std_mergesort,0.157583,10156
900,random,tsq,0.0267748,7962
900,random,string_mergesort,0.110309,8612
900,random,msd_radix,0.0637168,3826
900,random,msd_radix_hybrid,0.03475,4433
900,reverse,std_quicksort,0.0261,22795
900,reverse,std_mergesort,0.101858,6077
900,reverse,tsq,0.0191084,8274
900,reverse,string_mergesort,0.0926586,5188
900,reverse,msd_radix,0.0670912,3826
900,reverse,msd_radix_hybrid,0.0323832,4300
900,almost,std_quicksort,0.0268336,30126
900,almost,std_mergesort,0.108508,8746
900,almost,tsq,0.0198918,7741
900,almost,string_mergesort,0.0973168,7492
900,almost,msd_radix,0.0679416,3826
900,almost,msd_radix_hybrid,0.0333916,4351
1000,random,std_quicksort,0.0394334,30989
1000,random,std_mergesort,0.173483,11547
1000,random,tsq,0.0355836,8907
1000,random,string_mergesort,0.138,9705
1000,random,msd_radix,0.0975084,4302
1000,random,msd_radix_hybrid,0.0425582,5035
1000,reverse,std_quicksort,0.0321332,30363
1000,reverse,std_mergesort,0.112059,7023
1000,reverse,tsq,0.0213166,9387
1000,reverse,string_mergesort,0.0975084,5936
1000,reverse,msd_radix,0.0732748,4302
1000,reverse,msd_radix_hybrid,0.0361916,4932
1000,almost,std_quicksort,0.0333584,37424
1000,almost,std_mergesort,0.1261,9814
1000,almost,tsq,0.0308666,12914
1000,almost,string_mergesort,0.106741,8405
1000,almost,msd_radix,0.0739914,4302
1000,almost,msd_radix_hybrid,0.0374582,5015
1100,random,std_quicksort,0.04335,31919
1100,random,std_mergesort,0.209066,13078
1100,random,tsq,0.0347,10318
1100,random,string_mergesort,0.147975,10903
1100,random,msd_radix,0.0850084,4762
1100,random,msd_radix_hybrid,0.0438916,5697
1100,reverse,std_quicksort,0.0370584,35669
1100,reverse,std_mergesort,0.142483,7789
1100,reverse,tsq,0.025,10588
1100,reverse,string_mergesort,0.118292,6540
1100,reverse,msd_radix,0.0835582,4762
1100,reverse,msd_radix_hybrid,0.04295,5568
1100,almost,std_quicksort,0.034575,40214
1100,almost,std_mergesort,0.15175,11274
1100,almost,tsq,0.0424838,9863
1100,almost,string_mergesort,0.137358,9583
1100,almost,msd_radix,0.0781834,4762
1100,almost,msd_radix_hybrid,0.0410748,5643
1200,random,std_quicksort,0.0473248,35746
1200,random,std_mergesort,0.212533,14561
1200,random,tsq,0.0415918,11967
1200,random,string_mergesort,0.14855,12025
1200,random,msd_radix,0.0851004,5214
1200,random,msd_radix_hybrid,0.0480418,6333
1200,reverse,std_quicksort,0.0424166,36409
1200,reverse,std_mergesort,0.136608,8479
1200,reverse,tsq,0.0274916,11889
1200,reverse,string_mergesort,0.130142,7153
1200,reverse,msd_radix,0.08635,5214
1200,reverse,msd_radix_hybrid,0.0449498,6228
1200,almost,std_quicksort,0.0406086,48125
1200,almost,std_mergesort,0.149775,12622
1200,almost,tsq,0.0269666,11396
1200,almost,string_mergesort,0.128784,10635
1200,almost,msd_radix,0.0836834,5214
1200,almost,msd_radix_hybrid,0.0426752,6281
1300,random,std_quicksort,0.0519082,38727
1300,random,std_mergesort,0.365517,16096
1300,random,tsq,0.048267,12058
1300,random,string_mergesort,0.170266,13210
1300,random,msd_radix,0.0928082,5682
1300,random,msd_radix_hybrid,0.0505334,7030
1300,reverse,std_quicksort,0.0399332,37919
1300,reverse,std_mergesort,0.167167,9380
1300,reverse,tsq,0.033025,12780
1300,reverse,string_mergesort,0.133817,7831
1300,reverse,msd_radix,0.0941834,5682
1300,reverse,msd_radix_hybrid,0.047117,6872
1300,almost,std_quicksort,0.0404252,45643
1300,almost,std_mergesort,0.166317,13859
1300,almost,tsq,0.0315502,12195
1300,almost,string_mergesort,0.151058,11550
1300,almost,msd_radix,0.0971752,5682
1300,almost,msd_radix_hybrid,0.0513584,7007
1400,random,std_quicksort,0.0599748,46490
1400,random,std_mergesort,0.282192,17574
1400,random,tsq,0.0466082,13521
1400,random,string_mergesort,0.197092,14370
1400,random,msd_radix,0.10975,6188
1400,random,msd_radix_hybrid,0.059275,7794
1400,reverse,std_quicksort,0.0474918,41843
1400,reverse,std_mergesort,0.221358,10167
1400,reverse,tsq,0.0483752,13976
1400,reverse,string_mergesort,0.1634,8522
1400,reverse,msd_radix,0.107367,6188
1400,reverse,msd_radix_hybrid,0.0552334,7544
1400,almost,std_quicksort,0.0444748,47404
1400,almost,std_mergesort,0.201725,15099
1400,almost,tsq,0.0358668,13604
1400,almost,string_mergesort,0.160008,12500
1400,almost,msd_radix,0.118108,6188
1400,almost,msd_radix_hybrid,0.0614916,7599
1500,random,std_quicksort,0.0692002,45502
1500,random,std_mergesort,0.283933,19086
1500,random,tsq,0.056825,14591
1500,random,string_mergesort,0.210275,15539
1500,random,msd_radix,0.126033,6666
1500,random,msd_radix_hybrid,0.0945916,8499
1500,reverse,std_quicksort,0.0538834,49603
1500,reverse,std_mergesort,0.205675,11189
1500,reverse,tsq,0.0380418,15193
1500,reverse,string_mergesort,0.171592,9263
1500,reverse,msd_radix,0.126734,6666
1500,reverse,msd_radix_hybrid,0.0612588,8262
1500,almost,std_quicksort,0.054108,60191
1500,almost,std_mergesort,0.220259,16428
1500,almost,tsq,0.0380412,14052
1500,almost,string_mergesort,0.169242,13553
1500,almost,msd_radix,0.11915,6666
1500,almost,msd_radix_hybrid,0.0613752,8266
1600,random,std_quicksort,0.069475,49229
1600,random,std_mergesort,0.368367,20645
1600,random,tsq,0.0505584,15238
1600,random,string_mergesort,0.247717,16744
1600,random,msd_radix,0.123567,7168
1600,random,msd_radix_hybrid,0.0648916,9214
1600,reverse,std_quicksort,0.0574002,54753
1600,reverse,std_mergesort,0.196817,12125
1600,reverse,tsq,0.041825,16599
1600,reverse,string_mergesort,0.169208,9982
1600,reverse,msd_radix,0.1282,7168
1600,reverse,msd_radix_hybrid,0.0614246,8956
1600,almost,std_quicksort,0.0546918,59487
1600,almost,std_mergesort,0.233792,18069
1600,almost,tsq,0.0424664,15462
1600,almost,string_mergesort,0.186017,14836
1600,almost,msd_radix,0.130267,7168
1600,almost,msd_radix_hybrid,0.0696584,9024
1700,random,std_quicksort,0.0788582,53706
1700,random,std_mergesort,0.378175,22265
1700,random,tsq,0.0891502,16839
1700,random,string_mergesort,0.254533,17965
